gene	name	best_mech	resfam_mech	megares_mech	card_mech	cardisamech
B314-1_scaffold_10_128	leuO	Gene Modulating Resistance	Gene Modulating Resistance			protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_11238_2	SAT-4	Acetyltransferase		Acetyltransferase		determinant of antibiotic resistance,determinant of resistance to nucleoside antibiotics,streptothricin acetyltransferase (SAT),antibiotic inactivation enzyme
B314-1_scaffold_375_35	FosA6	Fosfomycin Thiol Transferase		Fosfomycin Thiol Transferase	Fosfomycin Thiol Transferase	fosfomycin thiol transferase,fosfomycin inactivation enzyme,determinant of fosfomycin resistance,antibiotic inactivation enzyme
B314-1_scaffold_205_54	mdtN	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_6140_1	oqxB	Efflux	Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_188_38	kdpE	Gene Modulating Resistance	Gene Modulating Resistance			protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_439_9	efmA	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B314-1_scaffold_15_77	mdtC	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_124_24	Escherichia coli acrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,acrA
B314-1_scaffold_288_38	cpxA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_37_8	AcrF	Efflux	Efflux	Aminoglycoside efflux pumps		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_3_392	Escherichia coli emrE	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,small multidrug resistance (SMR) antibiotic efflux pump,emrE
B314-1_scaffold_3571_1	Enterobacter cloacae acrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,acrA
B314-1_scaffold_2377_6	Enterobacter cloacae rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_425_12	CRP	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_522_24	MCR-3	Phosphoethanolamine Transferase			Phosphoethanolamine Transferase	MCR phosphoethanolamine transferase,determinant of polymyxin resistance,gene altering cell wall charge,phosphoethanolamine transferase conferring colistin resistance
B314-1_scaffold_15_248	PmrF	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B314-1_scaffold_5808_2	ErmB	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B314-1_scaffold_328_32	AAC(6')-Ii	Acetyltransferase	Acetyltransferase	Acetyltransferase		AAC(6'),aminoglycoside acetyltransferase (AAC),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B314-1_scaffold_13_95	MdfA	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B314-1_scaffold_15_80	baeR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_5_195	mdtE	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_5_38	CRP	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_234_3	ACC-3	Beta-Lactamase-Class C	Beta-Lactamase-Class C	Class C betalactamases		beta-lactamase,class C beta-lactamase,ACC beta-lactamase
B314-1_scaffold_2664_4	Enterobacter cloacae rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_205_21	PmrC	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B314-1_scaffold_10_208	Escherichia coli rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_9920_1	oqxA	Efflux	Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_93_83	mfd	Quinolone Resistance	Quinolone Resistance			quinolone resistance protein (qnr),antibiotic target protection protein,determinant of antibiotic resistance,determinant of fluoroquinolone resistance
B314-1_scaffold_34_30	cat	Acetyltransferase	Acetyltransferase	Chloramphenicol acetyltransferases		determinant of antibiotic resistance,determinant of phenicol resistance,chloramphenicol acetyltransferase (CAT),antibiotic inactivation enzyme
B314-1_scaffold_15_249	arnA	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B314-1_scaffold_2609_6	ACT-6	Beta-Lactamase-Class C	Beta-Lactamase-Class C	Class C betalactamases		ACT beta-lactamase,class C beta-lactamase,beta-lactamase
B314-1_scaffold_3669_3	MIR-13	Beta-Lactamase-Class C	Beta-Lactamase-Class C	Class C betalactamases		beta-lactamase,class C beta-lactamase,MIR beta-lactamase,ACT beta-lactamase
B314-1_scaffold_1787_5	oqxA	Efflux	Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_5643_2	bacA	Undecaprenyl Pyrophosphate Phosphatase		Undecaprenyl Pyrophosphate Phosphatase		determinant of resistance to peptide antibiotics,determinant of antibiotic resistance,bacitracin resistance gene,protein(s) conferring antibiotic resistance via molecular bypass,undecaprenyl pyrophosphate related proteins conferring resistance to bacitracin
B314-1_scaffold_1638_5	FosA2	Fosfomycin Thiol Transferase		Fosfomycin Thiol Transferase	Fosfomycin Thiol Transferase	fosfomycin thiol transferase,fosfomycin inactivation enzyme,determinant of fosfomycin resistance,antibiotic inactivation enzyme
B314-1_scaffold_1966_2	emrR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_394_1	Escherichia coli LamB	Quinolone Resistance	Quinolone Resistance			protein modulating permeability to antibiotic,determinant of antibiotic resistance,gene conferring resistance via absence,Sugar Porin (SP),determinant of tetracycline resistance,determinant of fluoroquinolone resistance
B314-1_scaffold_99_75	emrY	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_8295_1	tetW	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection			tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B314-1_scaffold_123_93	marA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,protein modulating permeability to antibiotic,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_48_43	acrD	Efflux	Efflux	Aminoglycoside efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,determinant of antibiotic resistance
B314-1_scaffold_794_1	msrB	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B314-1_scaffold_251_53	emrR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_7726_3	Enterobacter cloacae rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_5_198	gadW	Gene Modulating Resistance	Gene Modulating Resistance			protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_99_76	emrK	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_251_55	emrB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_3229_6	marA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,protein modulating permeability to antibiotic,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_2730_4	mel	Efflux	Efflux	Macrolide resistance efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B314-1_scaffold_3747_1	ANT(6)-Ia	Nucleotidyltransferase	Nucleotidyltransferase	Aminoglycoside O-nucleotidyltransferases		ANT(6),aminoglycoside nucleotidyltransferase (ANT),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B314-1_scaffold_3_260	msrB	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B314-1_scaffold_17_50	CRP	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_3617_3	dfrF	Dihydrofolate Reductase		Dihydrofolate Reductase		determinant of diaminopyrimidine resistance,determinant of antibiotic resistance,trimethoprim resistant dihydrofolate reductase dfr,antibiotic target replacement protein,antibiotic resistant dihydrofolate reductase
B314-1_scaffold_271_28	emrR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_9489_3	OXA-12	Beta-Lactamase-Class D	Beta-Lactamase-Class D	Class D betalactamases		beta-lactamase,class D beta-lactamase,OXA beta-lactamase
B314-1_scaffold_3_43	marA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,protein modulating permeability to antibiotic,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_15_233	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Fosfomycin Transporter			Fosfomycin Transporter	GlpT,antibiotic resistant gene variant or mutant,determinant of antibiotic resistance,determinant of fosfomycin resistance
B314-1_scaffold_707_7	Escherichia coli CpxR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,CpxR
B314-1_scaffold_251_54	emrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_458_30	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Fosfomycin Transporter			Fosfomycin Transporter	antibiotic resistant gene variant or mutant,determinant of antibiotic resistance,determinant of fosfomycin resistance,UhpT
B314-1_scaffold_1470_6	CRP	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_288_39	Escherichia coli CpxR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,CpxR
B314-1_scaffold_1144_7	Enterobacter cloacae rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_512_25	Klebsiella pneumoniae OmpK37	General Bacterial Porin Conferring Beta-lactam Resistance			General Bacterial Porin Conferring Beta-lactam Resistance	General Bacterial Porin with reduced permeability to beta-lactams,determinant of beta-lactam resistance,protein modulating permeability to antibiotic,determinant of antibiotic resistance,General Bacterial Porin (GBP)
B314-1_scaffold_15_27	PmrE	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B314-1_scaffold_123_73	LEN-1	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		LEN beta-lactamase,SHV-LEN beta-lactamase,class A beta-lactamase
B314-1_scaffold_1793_4	baeR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-1_scaffold_13_163	msbA	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B314-1_scaffold_1787_6	oqxB	Efflux	Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_15_75	mdtA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_76_98	TolC	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_37_10	AcrS	Gene Modulating Resistance	Gene Modulating Resistance	Aminoglycoside efflux regulator		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-1_scaffold_1770_7	MCR-3	Phosphoethanolamine Transferase			Phosphoethanolamine Transferase	MCR phosphoethanolamine transferase,determinant of polymyxin resistance,gene altering cell wall charge,phosphoethanolamine transferase conferring colistin resistance
B314-1_scaffold_5_354	mdtL	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B314-1_scaffold_93_35	mdtH	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B314-1_scaffold_37_9	AcrE	Efflux	Efflux	Aminoglycoside efflux pumps		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-1_scaffold_6197_1	tetO	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B314-1_scaffold_93_23	mdtG	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B314-1_scaffold_11238_1	aad(6)	Nucleotidyltransferase	Nucleotidyltransferase	Aminoglycoside O-nucleotidyltransferases		ANT(6),aminoglycoside nucleotidyltransferase (ANT),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B314-1_scaffold_5_323	emrD	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B314-2_scaffold_6258_3	Escherichia coli rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-2_scaffold_747_18	kdpE	Gene Modulating Resistance	Gene Modulating Resistance			protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-2_scaffold_263_26	CRP	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-2_scaffold_671_12	FosA6	Fosfomycin Thiol Transferase		Fosfomycin Thiol Transferase	Fosfomycin Thiol Transferase	fosfomycin thiol transferase,fosfomycin inactivation enzyme,determinant of fosfomycin resistance,antibiotic inactivation enzyme
B314-2_scaffold_236_9	mdtP	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-2_scaffold_14542_1	Enterobacter cloacae rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-2_scaffold_24_74	mdtC	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-2_scaffold_61_11	bacA	Undecaprenyl Pyrophosphate Phosphatase		Undecaprenyl Pyrophosphate Phosphatase		determinant of resistance to peptide antibiotics,determinant of antibiotic resistance,bacitracin resistance gene,protein(s) conferring antibiotic resistance via molecular bypass,undecaprenyl pyrophosphate related proteins conferring resistance to bacitracin
B314-2_scaffold_1188_2	Enterobacter cloacae acrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,acrA
B314-2_scaffold_87_24	acrB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-2_scaffold_150_46	tet(J)	Tetracycline MFS Efflux	Efflux,Tetracycline MFS Efflux	Tetracycline resistance major facilitator superfamily MFS efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B314-2_scaffold_2604_7	emrR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-2_scaffold_8372_2	Enterobacter cloacae rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-2_scaffold_2682_10	msrB	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B314-2_scaffold_3848_4	lnuC	Nucleotidyltransferase		Lincosamide Nucleotidyltransferases		determinant of lincosamide resistance,lincosamide nucleotidyltransferase (LNU),determinant of antibiotic resistance,antibiotic inactivation enzyme
B314-2_scaffold_352_12	evgA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-2_scaffold_247_32	msbA	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B314-2_scaffold_15443_2	Enterobacter cloacae rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-2_scaffold_243_28	oqxB	Efflux	Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-2_scaffold_4062_4	FosA5	Fosfomycin Thiol Transferase		Fosfomycin Thiol Transferase	Fosfomycin Thiol Transferase	fosfomycin thiol transferase,fosfomycin inactivation enzyme,determinant of fosfomycin resistance,antibiotic inactivation enzyme
B314-2_scaffold_32_129	oqxA	Efflux	Efflux			subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-2_scaffold_1281_3	OXY-2-10	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,OXY beta-lactamase
B314-2_scaffold_151_5	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Fosfomycin Transporter			Fosfomycin Transporter	antibiotic resistant gene variant or mutant,determinant of antibiotic resistance,determinant of fosfomycin resistance,UhpT
B314-2_scaffold_1187_11	Escherichia coli CpxR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,CpxR
B314-2_scaffold_1997_6	AcrF	Efflux	Efflux	Aminoglycoside efflux pumps		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-2_scaffold_296_54	marA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,protein modulating permeability to antibiotic,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B314-2_scaffold_770_13	MCR-3	Phosphoethanolamine Transferase			Phosphoethanolamine Transferase	MCR phosphoethanolamine transferase,determinant of polymyxin resistance,gene altering cell wall charge,phosphoethanolamine transferase conferring colistin resistance
B314-2_scaffold_4446_5	Enterobacter cloacae rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-2_scaffold_495_3	msbA	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B314-2_scaffold_269_54	emrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B314-2_scaffold_1547_1	cphA4	Beta-Lactamase-Class B	Beta-Lactamase-Class B	Class B betalactamases		subclass B2 (metallo-) beta-lactamase,CphA beta-lactamase,class B (metallo-) beta-lactamase
B314-2_351|phage|20632|29706_28132_9	Escherichia coli rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B314-2_scaffold_4281_1	Escherichia coli CpxR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,CpxR
B314-2_scaffold_3168_5	Enterobacter cloacae rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
